Date : 2025-03-14 23:17:19
Directory : /Users/willgunter/projects/Gamefied-Study-Tool/backend
Total : 69 files,  5165 codes, 795 comments, 1303 blanks, all 7263 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |         67 |      5,076 |        795 |      1,289 |      7,160 |
| pip requirements |          1 |         51 |          0 |          1 |         52 |
| Ini              |          1 |         38 |          0 |         13 |         51 |
+------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                            |         69 |      5,165 |        795 |      1,303 |      7,263 |
| . (Files)                                                                                                    |         14 |      1,562 |        284 |        311 |      2,157 |
| database                                                                                                     |          6 |      1,352 |        140 |        334 |      1,826 |
| email_provider                                                                                               |          2 |         94 |          3 |         11 |        108 |
| images                                                                                                       |          1 |         33 |         22 |         11 |         66 |
| knowledge_net                                                                                                |          5 |        315 |         25 |         79 |        419 |
| knowledge_net (Files)                                                                                        |          4 |        215 |         25 |         52 |        292 |
| knowledge_net/SystemPrompts                                                                                  |          1 |        100 |          0 |         27 |        127 |
| migrations                                                                                                   |         28 |        901 |        170 |        339 |      1,410 |
| migrations (Files)                                                                                           |          2 |        104 |         17 |         44 |        165 |
| migrations/versions                                                                                          |         26 |        797 |        153 |        295 |      1,245 |
| routes                                                                                                       |          8 |        710 |        135 |        181 |      1,026 |
| services                                                                                                     |          1 |          0 |          1 |          0 |          1 |
| vector_processing                                                                                            |          4 |        198 |         15 |         37 |        250 |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                     | language         | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/app.py                                                | Python           |        105 |         18 |         26 |        149 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/completion_tasks.py                                   | Python           |        185 |          6 |         40 |        231 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/database/db_handlers.py                               | Python           |        501 |         25 |        118 |        644 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/database/document_handlers.py                         | Python           |         37 |          5 |         12 |         54 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/database/library_handlers.py                          | Python           |        498 |         55 |        121 |        674 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/database/models.py                                    | Python           |        180 |          3 |         45 |        228 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/database/upgrade_db.py                                | Python           |         46 |          1 |         14 |         61 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/database/user_handler.py                              | Python           |         90 |         51 |         24 |        165 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/email_provider/email_templates.py                     | Python           |         80 |          2 |          7 |         89 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/email_provider/resend_api.py                          | Python           |         14 |          1 |          4 |         19 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/functions.py                                          | Python           |        329 |        132 |         22 |        483 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/images/library_imager.py                              | Python           |         33 |         22 |         11 |         66 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/knowledge_net/SystemPrompts/prompt_utils.py           | Python           |        100 |          0 |         27 |        127 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/knowledge_net/explore.py                              | Python           |         34 |          2 |          3 |         39 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/knowledge_net/graph_calc.py                           | Python           |         75 |         17 |         26 |        118 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/knowledge_net/library_generator.py                    | Python           |         89 |          6 |         17 |        112 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/knowledge_net/math_utils.py                           | Python           |         17 |          0 |          6 |         23 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/message_handler.py                                    | Python           |         94 |          1 |         21 |        116 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/migrate_db.py                                         | Python           |         10 |          2 |          5 |         17 |
| /Users/willgunter/projects/Gamefied-Study-Tool/backend/migrations/alembic.ini                                | Ini              |         38 |          0 |         13 |         51 |
