Date : 2025-03-14 23:17:35
Directory : /Users/willgunter/projects/Gamefied-Study-Tool/frontend
Total : 94 files,  25746 codes, 614 comments, 1307 blanks, all 27667 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          2 |     13,703 |          0 |          2 |     13,705 |
| vue                |         61 |     10,699 |        456 |      1,149 |     12,304 |
| JavaScript         |         21 |      1,025 |        109 |        102 |      1,236 |
| CSS                |          2 |        197 |         48 |         42 |        287 |
| HTML               |          1 |         47 |          1 |          4 |         52 |
| XML                |          5 |         37 |          0 |          1 |         38 |
| Markdown           |          1 |         19 |          0 |          6 |         25 |
| JSON with Comments |          1 |         19 |          0 |          1 |         20 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                         |         94 |     25,746 |        614 |      1,307 |     27,667 |
| . (Files)                                                                                                                 |          8 |     13,772 |          1 |         15 |     13,788 |
| public                                                                                                                    |          2 |         80 |          1 |          5 |         86 |
| src                                                                                                                       |         84 |     11,894 |        612 |      1,287 |     13,793 |
| src (Files)                                                                                                               |          3 |        322 |         62 |         42 |        426 |
| src/assets                                                                                                                |          6 |        201 |         48 |         42 |        291 |
| src/assets (Files)                                                                                                        |          2 |        197 |         48 |         42 |        287 |
| src/assets/images                                                                                                         |          4 |          4 |          0 |          0 |          4 |
| src/components                                                                                                            |         60 |     10,518 |        453 |      1,135 |     12,106 |
| src/components/Auth                                                                                                       |          4 |        476 |          1 |         33 |        510 |
| src/components/Backstage                                                                                                  |          6 |        864 |         47 |         99 |      1,010 |
| src/components/Chat                                                                                                       |          7 |      1,632 |         15 |        155 |      1,802 |
| src/components/Footer                                                                                                     |          9 |      1,784 |         57 |        191 |      2,032 |
| src/components/Footer (Files)                                                                                             |          4 |      1,047 |         57 |        135 |      1,239 |
| src/components/Footer/LandingPageComponents                                                                               |          5 |        737 |          0 |         56 |        793 |
| src/components/Game                                                                                                       |         15 |      2,719 |        247 |        291 |      3,257 |
